,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
45,8,3,0,1,2,1,1,0,2,0,0,0,0,0,2,0,0,1,1,0,0,1,0,1,0,0,1,2,1,0,0,0,1,1
46,8,2,0,1,2,1,1,0,2,0,0,0,0,0,2,0,0,1,1,0,0,1,0,1,0,0,1,2,1,0,0,0,1,1
47,8,3,0,1,2,1,1,0,2,0,0,0,0,0,2,0,0,1,1,0,0,1,0,1,0,0,1,2,1,0,0,0,1,1
48,8,3,0,1,2,1,1,0,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,1,2,1,0,0,0,1,1
49,8,3,0,1,2,1,1,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,0,1,2,1,0,0,0,1,1
50,8,3,0,1,3,1,1,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,0,1,2,1,0,0,0,1,1
51,8,4,0,1,3,1,1,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,0,1,2,1,0,0,0,1,1
52,8,5,0,1,3,1,1,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,0,1,2,1,0,0,0,1,1
53,8,5,0,1,3,1,1,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1
54,8,5,0,1,3,1,1,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,1,2,1,0,0,0,1,1
55,8,5,0,1,3,1,1,0,3,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,1,2,1,0,0,0,1,1
56,8,5,0,1,3,1,1,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,1,2,1,0,0,0,1,1
57,7,5,0,1,3,1,1,0,2,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,1,2,1,0,0,0,1,1
58,7,5,0,1,3,1,1,0,2,0,0,0,0,0,2,0,0,1,3,0,0,0,1,0,0,0,1,2,1,0,0,0,1,1
59,7,5,0,1,3,1,1,0,2,0,0,0,0,0,2,0,0,1,3,0,0,0,1,0,0,1,1,2,1,0,0,0,1,1
60,7,5,0,1,3,1,1,0,2,0,0,0,1,0,2,0,0,1,3,0,0,0,1,0,0,1,1,2,1,0,0,0,1,1
61,7,5,0,2,3,1,1,0,2,0,0,0,1,0,2,0,0,1,3,0,0,0,1,0,0,1,1,2,1,0,0,0,1,1
62,7,6,0,2,3,1,1,0,2,0,0,0,1,0,2,0,0,1,3,0,0,0,1,0,0,1,1,2,1,0,0,0,1,1
63,6,6,0,2,3,1,1,0,2,0,0,0,1,0,2,0,0,1,3,0,0,0,1,0,0,1,1,2,1,0,0,0,1,1
64,6,6,0,2,3,1,1,0,2,0,0,0,1,0,2,0,0,1,3,1,0,0,1,0,0,1,1,2,1,0,0,0,1,1
65,6,5,0,2,3,1,1,0,2,0,0,0,1,0,2,0,0,1,3,1,0,0,1,0,0,1,1,2,1,0,0,0,1,1
